项目,附注,2020年度,2019年度
向中央银行借款净增加额,,,
向其他金融机构拆入资金净增加额,,,
收到原保险合同保费取得的现金,,,
收到再保险业务现金净额,,,
保户储金及投资款净增加额,,,
"处置以公允价值计量且其变动计入当期损益的金融
资产净增加额",,,
收取利息、手续费及佣金的现金,,,
拆入资金净增加额,,,
回购业务资金净增加额,,,
收到的税费返还,,,
收到其他与经营活动有关的现金,,"67,274,132.95","60,832,316.59"
经营活动现金流入小计,,"4,735,168,525.91","4,213,491,688.30"
购买商品、接受劳务支付的现金,,"2,749,617,413.01","2,407,339,858.38"
客户贷款及垫款净增加额,,,
存放中央银行和同业款项净增加额,,,
支付原保险合同赔付款项的现金,,,
支付利息、手续费及佣金的现金,,,
支付保单红利的现金,,,
支付给职工以及为职工支付的现金,,"495,764,366.48","450,382,483.33"
支付的各项税费,,"412,518,557.91","387,333,674.70"
支付其他与经营活动有关的现金,,"353,698,594.48","317,820,012.34"
经营活动现金流出小计,,"4,011,598,931.88","3,562,876,028.75"
经营活动产生的现金流量净额,,"723,569,594.03","650,615,659.55"
二、投资活动产生的现金流量：,,,
收回投资收到的现金,,"6,984,428,089.91","7,237,708,085.72"
取得投资收益收到的现金,,"100,423,336.07","69,404,360.71"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"108,963,179.09","787,457.64"
处置子公司及其他营业单位收到的现金净额,,,
收到其他与投资活动有关的现金,,,
投资活动现金流入小计,,"7,193,814,605.07","7,307,899,904.07"
购建固定资产、无形资产和其他长期资产支付的现金,,"355,061,776.00","206,833,466.63"
投资支付的现金,,"7,146,100,000.00","7,672,050,000.00"
质押贷款净增加额,,,
取得子公司及其他营业单位支付的现金净额,,,
支付其他与投资活动有关的现金,,,
投资活动现金流出小计,,"7,501,161,776.00","7,878,883,466.63"
投资活动产生的现金流量净额,,"-307,347,170.93","-570,983,562.56"
三、筹资活动产生的现金流量：,,,
吸收投资收到的现金,,,
其中：子公司吸收少数股东投资收到的现金,,,
取得借款收到的现金,,"2,159,000.00","49,825,364.41"
发行债券收到的现金,,,
收到其他与筹资活动有关的现金,,,
筹资活动现金流入小计,,"2,159,000.00","49,825,364.41"
偿还债务支付的现金,,"34,825,364.41","123,570,000.00"
分配股利、利润或偿付利息支付的现金,,"237,266,012.65","206,439,164.47"
其中：子公司支付给少数股东的股利、利润,,"40,000,000.00","36,000,000.00"
支付其他与筹资活动有关的现金,,"1,125,000.00",-
筹资活动现金流出小计,,"273,216,377.06","330,009,164.47"
筹资活动产生的现金流量净额,,"-271,057,377.06","-280,183,800.06"
四、汇率变动对现金及现金等价物的影响,,"91,901.86","-129,898.39"
五、现金及现金等价物净增加额,,"145,256,947.90","-200,681,601.46"
加：期初现金及现金等价物余额,,"240,763,315.02","441,444,916.48"
六、期末现金及现金等价物余额,,"386,020,262.92","240,763,315.02"
项目,附注,本期发生额,上期发生额
一、经营活动产生的现金流量：,,,
销售商品、提供劳务收到的现金,,"4,152,659,371.71","3,701,024,693.51"
客户存款和同业存放款项净增加额,,,
向中央银行借款净增加额,,,
向其他金融机构拆入资金净增加额,,,
收到原保险合同保费取得的现金,,,
收到再保险业务现金净额,,,
保户储金及投资款净增加额,,,
"处置以公允价值计量且其变动计入
当期损益的金融资产净增加额",,,
收取利息、手续费及佣金的现金,,,
拆入资金净增加额,,,
回购业务资金净增加额,,,
收到的税费返还,,,
收到其他与经营活动有关的现金,,"60,832,316.59","53,267,237.99"
经营活动现金流入小计,,"4,213,491,688.30","3,754,291,931.50"
购买商品、接受劳务支付的现金,,"2,407,339,858.38","2,140,106,960.39"
客户贷款及垫款净增加额,,,
存放中央银行和同业款项净增加额,,,
支付原保险合同赔付款项的现金,,,
支付利息、手续费及佣金的现金,,,
支付保单红利的现金,,,
支付给职工以及为职工支付的现金,,"450,382,483.33","405,335,706.50"
支付的各项税费,,"387,333,674.70","331,259,199.29"
支付其他与经营活动有关的现金,,"317,820,012.34","200,920,820.26"
经营活动现金流出小计,,"3,562,876,028.75","3,077,622,686.44"
经营活动产生的现金流量净额,,"650,615,659.55","676,669,245.06"
二、投资活动产生的现金流量：,,,
收回投资收到的现金,,"7,237,708,085.72","4,735,758,298.67"
取得投资收益收到的现金,,"69,404,360.71","25,090,551.77"
"处置固定资产、无形资产和其他长
期资产收回的现金净额",,"787,457.64","48,598,105.74"
"处置子公司及其他营业单位收到的
现金净额",,,
收到其他与投资活动有关的现金,,,
投资活动现金流入小计,,"7,307,899,904.07","4,809,446,956.18"
"购建固定资产、无形资产和其他长
期资产支付的现金",,"206,833,466.63","209,391,946.12"
投资支付的现金,,"7,672,050,000.00","5,004,020,000.00"
质押贷款净增加额,,,
"取得子公司及其他营业单位支付的
现金净额",,,
支付其他与投资活动有关的现金,,,
投资活动现金流出小计,,"7,878,883,466.63","5,213,411,946.12"
投资活动产生的现金流量净额,,"-570,983,562.56","-403,964,989.94"
三、筹资活动产生的现金流量：,,,
吸收投资收到的现金,,,
其中：子公司吸收少数股东投资收,,,
到的现金,,,
取得借款收到的现金,,"49,825,364.41","20,000,000.00"
发行债券收到的现金,,,
收到其他与筹资活动有关的现金,,,
筹资活动现金流入小计,,"49,825,364.41","20,000,000.00"
偿还债务支付的现金,,"123,570,000.00","40,000,000.00"
"分配股利、利润或偿付利息支付的
现金",,"206,439,164.47","165,806,896.87"
"其中：子公司支付给少数股东的股
利、利润",,,
支付其他与筹资活动有关的现金,,,"200,000.00"
筹资活动现金流出小计,,"330,009,164.47","206,006,896.87"
筹资活动产生的现金流量净额,,"-280,183,800.06","-186,006,896.87"
"四、汇率变动对现金及现金等价物的
影响",,"-129,898.39","126,655.39"
五、现金及现金等价物净增加额,,"-200,681,601.46","86,824,013.64"
加：期初现金及现金等价物余额,,"441,444,916.48","354,620,902.84"
六、期末现金及现金等价物余额,,"240,763,315.02","441,444,916.48"
项目,附注,本期发生额,上期发生额
一、经营活动产生的现金流量：,,,
销售商品、提供劳务收到的现金,,"3,701,024,693.51","3,192,272,411.35"
客户存款和同业存放款项净增加额,,,
向中央银行借款净增加额,,,
向其他金融机构拆入资金净增加额,,,
收到原保险合同保费取得的现金,,,
收到再保险业务现金净额,,,
保户储金及投资款净增加额,,,
"处置以公允价值计量且其变动计入当期损益
的金融资产净增加额",,,
收取利息、手续费及佣金的现金,,,
拆入资金净增加额,,,
回购业务资金净增加额,,,
收到的税费返还,,,
收到其他与经营活动有关的现金,,"53,267,237.99","48,144,482.78"
经营活动现金流入小计,,"3,754,291,931.50","3,240,416,894.13"
购买商品、接受劳务支付的现金,,"2,140,106,960.39","2,024,238,167.43"
客户贷款及垫款净增加额,,,
存放中央银行和同业款项净增加额,,,
支付原保险合同赔付款项的现金,,,
支付利息、手续费及佣金的现金,,,
支付保单红利的现金,,,
支付给职工以及为职工支付的现金,,"405,335,706.50","367,039,292.90"
支付的各项税费,,"331,259,199.29","239,264,909.52"
支付其他与经营活动有关的现金,,"200,920,820.26","215,925,458.19"
经营活动现金流出小计,,"3,077,622,686.44","2,846,467,828.04"
经营活动产生的现金流量净额,,"676,669,245.06","393,949,066.09"
二、投资活动产生的现金流量：,,,
收回投资收到的现金,,"4,735,758,298.67","3,984,583,741.03"
取得投资收益收到的现金,,"25,090,551.77","16,127,052.41"
"处置固定资产、无形资产和其他长期资产收回
的现金净额",,"48,598,105.74","21,376,993.10"
处置子公司及其他营业单位收到的现金净额,,,
收到其他与投资活动有关的现金,,,"74,287,100.00"
投资活动现金流入小计,,"4,809,446,956.18","4,096,374,886.54"
"购建固定资产、无形资产和其他长期资产支付
的现金",,"209,391,946.12","173,285,800.75"
投资支付的现金,,"5,004,020,000.00","4,407,886,839.71"
质押贷款净增加额,,,
取得子公司及其他营业单位支付的现金净额,,,
支付其他与投资活动有关的现金,,,
投资活动现金流出小计,,"5,213,411,946.12","4,581,172,640.46"
投资活动产生的现金流量净额,,"-403,964,989.94","-484,797,753.92"
三、筹资活动产生的现金流量：,,,
吸收投资收到的现金,,,
其中：子公司吸收少数股东投资收到的现金,,,
取得借款收到的现金,,"20,000,000.00","20,000,000.00"
发行债券收到的现金,,,"396,000,000.00"
收到其他与筹资活动有关的现金,,,
筹资活动现金流入小计,,"20,000,000.00","416,000,000.00"
偿还债务支付的现金,,"40,000,000.00","111,000,000.00"
分配股利、利润或偿付利息支付的现金,,"165,806,896.87","129,990,552.81"
其中：子公司支付给少数股东的股利、利润,,"26,860,000.00",
支付其他与筹资活动有关的现金,,"200,000.00",
筹资活动现金流出小计,,"206,006,896.87","240,990,552.81"
筹资活动产生的现金流量净额,,"-186,006,896.87","175,009,447.19"
四、汇率变动对现金及现金等价物的影响,,"126,655.39","97,931.50"
五、现金及现金等价物净增加额,,"86,824,013.64","84,258,690.86"
加：期初现金及现金等价物余额,,"354,620,902.84","270,362,211.98"
六、期末现金及现金等价物余额,,"441,444,916.48","354,620,902.84"
